gene	OMIMG	Disease	OMIMP	Inheritance
A1BG	138670			
A1CF	618199			
A2M	103950			
A2ML1	610627	{Otitis media, susceptibility to}	166760	AD
A3GALT2	619850			
A4GALT	607922	[Blood group, P1Pk system, P(2) phenotype]; NOR polyagglutination syndrome; [Blood group, P1Pk system, p phenotype]	111400; 111400; 111400	
A4GNT	616709			
AAAS	605378	Achalasia-addisonianism-alacrimia syndrome	231550	AR
AACS	614364			
AADAC	600338			
AADAT	611754			
AAGAB	614888	Keratoderma, palmoplantar, punctate type IA	148600	AD
AAK1	616405			
AAMP	603488			
AANAT	600950			
AAR2	617365			
AARS1	601065	Developmental and epileptic encephalopathy 29; Charcot-Marie-Tooth disease, axonal, type 2N; ?Leukoencephalopathy, hereditary diffuse, with spheroids 2; Trichothiodystrophy 8, nonphotosensitive	616339; 613287; 619661; 619691	AR; AD
AARS2	612035	Leukoencephalopathy, progressive, with ovarian failure; Combined oxidative phosphorylation deficiency 8	615889; 614096	AR
AARSD1	613212			
AASDH	614365			
AASDHPPT	607756			
AASS	605113	Hyperlysinemia	238700	AR
AATF	608463			
AATK	605276			
ABAT	137150	GABA-transaminase deficiency	613163	AR
ABCA1	600046	Tangier disease; HDL deficiency, familial, 1	205400; 604091	AR; AD
ABCA10	612508			
ABCA12	607800	Ichthyosis, congenital, autosomal recessive 4B (harlequin); Ichthyosis, congenital, autosomal recessive 4A	242500; 601277	AR
ABCA13	607807			
ABCA2	600047	Intellectual developmental disorder with poor growth and with or without seizures or ataxia	618808	AR
ABCA3	601615	Surfactant metabolism dysfunction, pulmonary, 3	610921	AR
ABCA4	601691	Retinal dystrophy, early-onset severe; Retinitis pigmentosa 19; {Macular degeneration, age-related, 2}; Cone-rod dystrophy 3; Fundus flavimaculatus; Stargardt disease 1	248200; 601718; 153800; 604116; 248200; 248200	AR; AD
ABCA5	612503	?Hypertrichosis, congenital generalized, with gingival hyperplasia	135400	AR
ABCA6	612504			
ABCA7	605414	{Alzheimer disease 9, susceptibility to}	608907	AD
ABCA8	612505			
ABCA9	612507			
ABCB1	171050	{Inflammatory bowel disease 13}; {Colchicine resistance}	612244; 120080	
ABCB10	605454			
ABCB11	603201	Cholestasis, benign recurrent intrahepatic, 2; Cholestasis, progressive familial intrahepatic 2	605479; 601847	AR
ABCB4	171060	Gallbladder disease 1; Cholestasis, intrahepatic, of pregnancy, 3; Cholestasis, progressive familial intrahepatic 3	600803; 614972; 602347	AR; AR, AD
ABCB5	611785			
ABCB6	605452	Microphthalmia, isolated, with coloboma 7; Dyschromatosis universalis hereditaria 3; [Blood group, Langereis system]; Pseudohyperkalemia, familial, 2, due to red cell leak	614497; 615402; 111600; 609153	AD
ABCB7	300135	Anemia, sideroblastic, with ataxia	301310	XLR
ABCB8	605464			
ABCB9	605453			
ABCC1	158343	?Deafness, autosomal dominant 77	618915	AD
ABCC10	612509			
ABCC11	607040	[Axillary odor, variation in]; [Earwax, wet/dry]; [Colostrum secretion, variation in]	117800; 117800; 117800	AD
ABCC12	607041			
ABCC13	608835			
ABCC2	601107	Dubin-Johnson syndrome	237500	AR
ABCC3	604323			
ABCC4	605250			
ABCC5	605251			
ABCC6	603234	Pseudoxanthoma elasticum; Arterial calcification, generalized, of infancy, 2; Pseudoxanthoma elasticum, forme fruste	264800; 614473; 177850	AR; AD
ABCC8	600509	Diabetes mellitus, permanent neonatal 3, with or without neurologic features; Diabetes mellitus, transient neonatal 2; Diabetes mellitus, noninsulin-dependent; Hypoglycemia of infancy, leucine-sensitive; Hyperinsulinemic hypoglycemia, familial, 1	618857; 610374; 125853; 240800; 256450	AD; AR, AD
ABCC9	601439	Cardiomyopathy, dilated, 1O; Hypertrichotic osteochondrodysplasia (Cantu syndrome); ?Atrial fibrillation, familial, 12; Intellectual disability and myopathy syndrome	608569; 239850; 614050; 619719	AR; AD
ABCD1	300371	Adrenoleukodystrophy; Adrenomyeloneuropathy, adult	300100; 300100	XLR
ABCD2	601081			
ABCD3	170995	?Bile acid synthesis defect, congenital, 5	616278	AR
ABCD4	603214	Methylmalonic aciduria and homocystinuria, cblJ type	614857	AR
ABCE1	601213			
ABCF1	603429			
ABCF2	612510			
ABCF3	618967			
ABCG1	603076			
ABCG2	603756	[Junior blood group system]; [Uric acid concentration, serum, QTL1]	614490; 138900	?AD
ABCG4	607784			
ABCG5	605459	Sitosterolemia 2	618666	AR
ABCG8	605460	Sitosterolemia 1; {Gallbladder disease 4}	210250; 611465	AR
ABHD1	612195			
ABHD10	618756			
ABHD11-AS1	612545			
ABHD12	613599	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	612674	AR
ABHD14A	618771			
